 ,Label,Area,Mean,StdDev,Mode,Min,Max,X_COM,Y_COM,Major,Minor,Angle,IntDen,Median,RawIntDen,Slice,EV no
26,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:33,0,41347,0,41347,41347,41347,840.4999221,1081.16665,0.1207,0.1207,0,473.3914,41347,41347,33,5
1,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:34,0,41540,0,41540,41540,41540,859.7501949,1101.249625,0.1207,0.1207,0,475.6011,41540,41540,34,5
2,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:35,0,40801,0,40801,40801,40801,878.2500081,1124.499857,0.1207,0.1207,0,467.1401,40801,40801,35,5
3,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:36,0,41118,0,41118,41118,41118,897.7498111,1146.99963,0.1207,0.1207,0,470.7695,41118,41118,36,5
4,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:37,0,40767,0,40767,40767,40767,915.1664577,1172.833014,0.1207,0.1207,0,466.7508,40767,40767,37,5
,,,,,,,,0,0,,,,,,,,
,,,,,,,,0,0,,,,,,,,
1,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:32,0,39412,0,39412,39412,39412,220.4996421,629.500184,0.1207,0.1207,0,451.2371,39412,39412,32,6
2,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:33,0,38650,0,38650,38650,38650,268.5000919,626.5002143,0.1207,0.1207,0,442.5128,38650,38650,33,6
3,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:34,0,39073,0,39073,39073,39073,313.4996374,623.1666032,0.1207,0.1207,0,447.3558,39073,39073,34,6
4,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:35,0,39140,0,39140,39140,39140,356.5001376,618.8330021,0.1207,0.1207,0,448.1229,39140,39140,35,6
5,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:36,0,40493,0,40493,40493,40493,398.4997134,617.8330122,0.1207,0.1207,0,463.6137,40493,40493,36,6
6,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:37,0,41204,0,41204,41204,41204,438.500244,613.5003456,0.1207,0.1207,0,471.7541,41204,41204,37,6
7,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:38,0,41345,0,41345,41345,41345,477.9998451,612.5003557,0.1207,0.1207,0,473.3685,41345,41345,38,6
8,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:39,0,42108,0,42108,42108,42108,513.833128,608.1667547,0.1207,0.1207,0,482.1042,42108,42108,39,6
9,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:40,0,43330,0,43330,43330,43330,549.833699,606.5004163,0.1207,0.1207,0,496.0952,43330,43330,40,6
10,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:49,0,40101,0,40101,40101,40101,798.0003513,580.4997444,0.1207,0.1207,0,459.1256,40101,40101,49,6
11,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:50,0,39580,0,39580,39580,39580,819.5001342,577.4997747,0.1207,0.1207,0,453.1606,39580,39580,50,6
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:386,0,39316,0,39316,39316,39316,30,772,1.1284,1.1284,0,39316,39316,39316,386,7
2,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:387,0,39322,0,39322,39322,39322,80.75,776.5,1.1284,1.1284,0,39322,39322,39322,387,7
3,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:388,0,39530,0,39530,39530,39530,129.25,779.5,1.1284,1.1284,0,39530,39530,39530,388,7
4,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:389,0,39670,0,39670,39670,39670,175.75,782.75,1.1284,1.1284,0,39670,39670,39670,389,7
5,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:390,0,39877,0,39877,39877,39877,220.1667,788.1667,1.1284,1.1284,0,39877,39877,39877,390,7
6,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:391,0,38662,0,38662,38662,38662,262.8333,794.8333,1.1284,1.1284,0,38662,38662,38662,391,7
