 ,Label,Area,Mean,StdDev,Mode,Min,Max,X_COM,Y_COM,Major,Minor,Angle,IntDen,Median,RawIntDen,Slice
37,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:70,0,45870,0,45870,45870,45870,243.25,699.75,1.128,1.128,0,45870,45870,45870,70
38,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:71,0,45583,0,45583,45583,45583,236.833,705.5,1.128,1.128,0,45583,45583,45583,71
39,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:82,0,44772,0,44772,44772,44772,182,778.667,1.128,1.128,0,44772,44772,44772,82
40,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:83,0,44839,0,44839,44839,44839,178,786.667,1.128,1.128,0,44839,44839,44839,83
41,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:84,0,44580,0,44580,44580,44580,174.167,795.167,1.128,1.128,0,44580,44580,44580,84
42,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:85,0,44606,0,44606,44606,44606,170.667,805.667,1.128,1.128,0,44606,44606,44606,85
43,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:86,0,44991,0,44991,44991,44991,167.333,815.667,1.128,1.128,0,44991,44991,44991,86
44,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:87,0,44510,0,44510,44510,44510,164.5,826.667,1.128,1.128,0,44510,44510,44510,87
45,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:88,0,44810,0,44810,44810,44810,160.667,837,1.128,1.128,0,44810,44810,44810,88
46,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:89,0,44528,0,44528,44528,44528,159.333,850.167,1.128,1.128,0,44528,44528,44528,89
47,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:90,0,44655,0,44655,44655,44655,155.667,861.333,1.128,1.128,0,44655,44655,44655,90
48,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:91,0,44221,0,44221,44221,44221,153.333,874.5,1.128,1.128,0,44221,44221,44221,91
49,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:92,0,43862,0,43862,43862,43862,150.5,888.333,1.128,1.128,0,43862,43862,43862,92
50,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:93,0,44237,0,44237,44237,44237,148.167,902.333,1.128,1.128,0,44237,44237,44237,93
51,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:94,0,43951,0,43951,43951,43951,146,918,1.128,1.128,0,43951,43951,43951,94
52,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:97,0,43573,0,43573,43573,43573,143.333,968.167,1.128,1.128,0,43573,43573,43573,97
53,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:98,0,43257,0,43257,43257,43257,142.5,984.75,1.128,1.128,0,43257,43257,43257,98
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:165,0,45861,0,45861,45861,45861,949.75,761,1.128,1.128,0,45861,45861,45861,165
2,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:166,0,45383,0,45383,45383,45383,907.5,772.5,1.128,1.128,0,45383,45383,45383,166
3,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:167,0,46366,0,46366,46366,46366,865.5,784,1.128,1.128,0,46366,46366,46366,167
4,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:169,0,46172,0,46172,46172,46172,789,807.25,1.128,1.128,0,46172,46172,46172,169
5,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:170,0,46103,0,46103,46103,46103,755.5,819.25,1.128,1.128,0,46103,46103,46103,170
6,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:172,0,45946,0,45946,45946,45946,691,846.25,1.128,1.128,0,45946,45946,45946,172
7,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:173,0,46145,0,46145,46145,46145,660,860.75,1.128,1.128,0,46145,46145,46145,173
8,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:174,0,46205,0,46205,46205,46205,630.75,875,1.128,1.128,0,46205,46205,46205,174
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:211,0,46516,0,46516,46516,46516,982.25,690.25,1.128,1.128,0,46516,46516,46516,211
2,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:212,0,47143,0,47143,47143,47143,945.25,696.25,1.128,1.128,0,47143,47143,47143,212
3,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:213,0,46752,0,46752,46752,46752,909.333,703.333,1.128,1.128,0,46752,46752,46752,213
4,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:214,0,46743,0,46743,46743,46743,876.333,711.5,1.128,1.128,0,46743,46743,46743,214
5,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:215,0,47254,0,47254,47254,47254,845.667,718.667,1.128,1.128,0,47254,47254,47254,215
6,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:216,0,47051,0,47051,47051,47051,815.833,726,1.128,1.128,0,47051,47051,47051,216
7,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:217,0,46501,0,46501,46501,46501,790.5,734.5,1.128,1.128,0,46501,46501,46501,217
8,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:218,0,47054,0,47054,47054,47054,762.667,742.5,1.128,1.128,0,47054,47054,47054,218
9,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:219,0,47513,0,47513,47513,47513,738,750,1.128,1.128,0,47513,47513,47513,219
10,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:220,0,47005,0,47005,47005,47005,714.833,758.167,1.128,1.128,0,47005,47005,47005,220
11,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:222,0,47678,0,47678,47678,47678,672.5,778.333,1.128,1.128,0,47678,47678,47678,222
12,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:223,0,47217,0,47217,47217,47217,650.167,788.833,1.128,1.128,0,47217,47217,47217,223
13,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:224,0,47510,0,47510,47510,47510,632,800.833,1.128,1.128,0,47510,47510,47510,224
14,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:225,0,47357,0,47357,47357,47357,613.667,812.5,1.128,1.128,0,47357,47357,47357,225
15,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:226,0,47811,0,47811,47811,47811,595.333,825.167,1.128,1.128,0,47811,47811,47811,226
16,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:227,0,48064,0,48064,48064,48064,579.5,837.167,1.128,1.128,0,48064,48064,48064,227
17,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:228,0,47433,0,47433,47433,47433,562,851,1.128,1.128,0,47433,47433,47433,228
18,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:230,0,47602,0,47602,47602,47602,530,880.333,1.128,1.128,0,47602,47602,47602,230
19,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:231,0,46930,0,46930,46930,46930,515,893.833,1.128,1.128,0,46930,46930,46930,231
20,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:233,0,46731,0,46731,46731,46731,488.667,929.667,1.128,1.128,0,46731,46731,46731,233
21,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:234,0,46232,0,46232,46232,46232,475.25,945.25,1.128,1.128,0,46232,46232,46232,234
22,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:235,0,46478,0,46478,46478,46478,463.25,966,1.128,1.128,0,46478,46478,46478,235
23,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:236,0,45850,0,45850,45850,45850,449.75,984.75,1.128,1.128,0,45850,45850,45850,236
24,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:237,0,46302,0,46302,46302,46302,437.833,1006.167,1.128,1.128,0,46302,46302,46302,237
25,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:238,0,46042,0,46042,46042,46042,426.167,1028.833,1.128,1.128,0,46042,46042,46042,238
